_vocab,accounting,pharmacy,baseball,robotics
capital,0.2226577414815263,0.11993305075358701,0.14801318160292046,0.1929775586121386
fund,0.403320027640603,0.24364056155410713,0.11774336719460474,0.1521050072805763
growing,0.15547801046802998,0.16189646824223708,0.1296533142798529,0.19692810614024023
season,0.15025731386294283,0.16381316841340382,0.44846822839411643,-0.015081286100939176
become,0.10974443192892556,0.05889032251592846,0.20494945440597412,0.15246682166167835
huge,0.17744100557186412,-0.0031750344081719764,0.23175486735873016,0.016280659816732518
marketing,0.6098443619457674,0.11508749959710063,0.14373236631724287,0.12558297076466424
focused,0.14573545437986776,0.12028453853617785,0.11544211712453205,0.1757186732726781
reason,0.1280306561973369,0.0746289996012587,0.2357400393769401,0.08730725857523447
feel,0.14182050761803297,0.23250916195745563,0.18900802807245476,0.028269791078767422
smug,0.16456882641518433,0.1609255481670763,0.316458902536988,-0.02057971535424918
lost,0.08557395594307714,0.12330363849873414,0.1807164547128109,0.045029662924121854
less,0.10789002590547848,0.14235509950729924,0.04231236312613195,0.08584146150804493
folks,0.10722509365901198,0.05559769291378623,0.26042407787089894,0.15812579582565267
stuck,0.005432839760043733,0.04400121257153826,0.09290717910069683,0.11183101226305783
exploded,0.05432812264200627,0.20531327950784192,0.09082411159956208,0.16772163729171574
costs,0.49113321732475984,0.19503916469396185,0.11580811980567529,0.09218993827117111
drove,0.1788170288242823,0.0227681166893187,0.17912538868573227,0.04172174527683098
imports,0.19409321686264822,0.1550503270150635,0.2653038119975701,0.05310226986913735
according,0.24662199909606106,0.2466502754725914,0.1611715164459063,0.09972511582979764
giant,0.393119890713713,0.015698817144721315,0.08122535241632811,0.23705831904467797
shell,0.21916501752830955,0.0007018628296046355,0.06659746485183553,0.33006361802670714
bracing,0.11258083879346849,0.17008017091549682,0.09129495935551346,0.05594132834654088
takeover,0.3657933465618517,0.11170863172120916,0.1861144782929994,0.05457797004873813
possibly,0.14855323587537597,0.13939825971657213,0.10410768863120283,0.21096009738927826
french,0.15230591864984283,0.1667937248990141,-0.0023178236976426,0.09516603005777861
rival,0.2699598252486741,0.016497603439067126,0.059428625249242396,0.127063917560657
press,0.1332548153989572,0.13937464875296912,0.27776427486572375,0.11316549765142565
report,0.28196951919044033,0.3485521825323214,0.08419425976702145,-0.013632672255788732
minute,0.006944384697903346,0.053915265088499253,0.3481696837879524,0.115385282218663
interview,0.2666739337687673,0.1145396518827921,0.11357497716347785,0.01778751257346406
bosses,0.27083019188242324,-0.018793563566761734,0.2461692668894249,0.027897192762758243
playboy,0.36945827720480906,0.04222983261432915,0.1789232192117996,-0.0753213957956759
nation,0.08869160594883267,0.07109564422508419,0.3003096315740206,0.22522681162939703
eurozone,0.23977716546629804,0.17766569415021394,0.14890132470289075,0.13536905505121186
continues,0.20188177897555964,0.06344046699321165,0.1256096844242108,0.17754625868223428
warnings,0.18452990773842926,0.20800022960428924,0.12112188327821491,0.13809920514316387
may,0.2487241596632659,0.09958579183817941,0.033094723920061,0.0690634090258937
slow,0.12539537526855488,0.13146606369476235,0.08041741211022804,0.19679025537753628
later,0.19126852523262197,0.013601414862565674,0.14878890353226387,0.051705394576213454
growth,0.27061381636942794,0.17674269912853016,0.09136662440935595,0.26947797009986413
japan,0.05362164636667319,-0.01066835067054157,0.21556631627829534,0.22631049862920147
slows,0.13582479320820112,0.0811324610126402,0.14698549881133918,0.20192415131803831
country,0.07427274527445177,0.010809879517185157,0.2726426679781653,0.20147448323588274
experiences,0.23408015780702518,0.09593547112840882,0.19300725008372338,0.12587040082170195
domestic,0.2744514482754103,0.10861011234736043,0.06930477823355487,0.09877837233017932
corporate,0.4437106265474386,0.09768394853192021,0.09822838535094036,0.10963494447870939
rates,0.19770515601202698,0.1492280108071516,0.1962029556073837,0.12372112174650847
trimmed,0.2965444938561753,0.04359920558670444,0.11613121282708137,0.10409054103483971
south,0.14783667611121046,0.0035762912218873922,0.20881638599156044,0.16267908747688195
african,0.1618057948707584,0.056777446329178735,0.19769745476582773,0.1822855238350402
central,0.018390112428181216,0.14596631333233634,0.24594661864868486,0.11887265144289785
